Month,PM2.5
January,
February,0.28850000000000003
March,0.29839999999999994
April,0.49
May,0.20766666666666667
June,0.16666666666666666
July,
August,0.134
September,0.26439999999999997
October,0.1226
November,0.209
December,0.21225
