Month,PM2.5
January,0.551
February,0.21966666666666668
March,0.47375000000000006
April,0.3746666666666667
May,0.605
June,0.1905
July,
August,0.164
September,0.34
October,0.29000000000000004
November,0.14275000000000002
December,0.10400000000000001
