Month,PM2.5
January,
February,0.6859999999999999
March,1.6234000000000002
April,0.6631666666666667
May,0.627
June,0.024
July,0.1585
August,0.311
September,0.199
October,0.13
November,0.21550000000000002
December,0.2525
