Month,PM2.5
January,
February,0.378
March,0.5676
April,0.5123333333333333
May,0.307
June,0.19999999999999998
July,0.492
August,0.65325
September,0.8820000000000001
October,0.2685
November,0.4013333333333334
December,0.21266666666666667
