Month,PM2.5
January,
February,0.37
March,0.9283999999999999
April,1.0166
May,0.5276666666666666
June,0.21933333333333335
July,
August,0.5973333333333334
September,0.5735
October,0.819
November,0.5135000000000001
December,0.32466666666666666
