Month,PM2.5
January,0.15433333333333332
February,0.17366666666666666
March,0.1685
April,0.2764
May,0.23850000000000002
June,0.28475
July,0.28525
August,0.25
September,0.10833333333333334
October,0.129
November,0.1782
December,0.1758
